Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,76.860001,77.699997,76.849998,77.500000,73.633530,205400
2018-06-19,77.269997,77.449997,76.769997,77.019997,73.177467,301800
2018-06-20,77.260002,77.660004,77.099998,77.129997,73.281990,228000
2018-06-21,77.099998,77.529999,77.099998,77.300003,73.443512,245800
2018-06-22,77.599998,77.970001,77.430000,77.760002,73.880554,220900
2018-06-25,77.529999,77.529999,76.470001,76.699997,72.873444,252800
2018-06-26,76.709999,77.300003,76.459999,76.580002,72.759430,301500
2018-06-27,76.589996,77.070000,76.040001,76.110001,72.312881,290500
2018-06-28,76.290001,76.830002,76.209999,76.650002,72.825935,263900
2018-06-29,76.849998,77.389999,76.849998,77.260002,73.405502,290000
2018-07-02,76.760002,77.059998,76.330002,76.790001,72.958946,108200
2018-07-03,77.489998,77.699997,77.080002,77.339996,73.481506,225500
2018-07-05,77.540001,77.669998,77.190002,77.449997,73.586021,294400
2018-07-06,77.419998,78.080002,77.370003,77.949997,74.061073,341000
2018-07-09,78.370003,78.660004,78.250000,78.339996,74.431618,439300
2018-07-10,78.379997,78.559998,78.150002,78.440002,74.526634,325000
2018-07-11,78.099998,78.500000,77.489998,77.610001,73.738045,328700
2018-07-12,78.230003,78.550003,77.860001,78.370003,74.460129,281400
2018-07-13,78.379997,78.480003,78.050003,78.360001,74.450623,226000
2018-07-16,78.360001,79.019997,78.360001,78.839996,74.906670,257100
2018-07-17,78.800003,78.870003,78.419998,78.559998,74.640640,237900
2018-07-18,78.690002,79.050003,78.599998,78.970001,75.030190,274400
2018-07-19,78.680000,78.839996,78.010002,78.139999,74.241592,266200
2018-07-20,78.839996,79.029999,78.610001,78.970001,75.030190,251400
2018-07-23,78.900002,79.160004,78.730003,79.120003,75.172714,215100
2018-07-24,79.129997,79.650002,78.900002,79.029999,75.087204,336800
2018-07-25,79.089996,79.769997,79.059998,79.730003,75.752281,354300
2018-07-26,79.800003,79.800003,79.260002,79.470001,75.505241,261100
2018-07-27,79.739998,79.870003,79.400002,79.629997,75.657249,221100
2018-07-30,79.900002,80.160004,79.769997,79.790001,75.809280,305200
2018-07-31,79.180000,79.389999,78.489998,79.279999,76.242035,506200
2018-08-01,79.510002,79.669998,78.970001,79.239998,76.203568,341200
2018-08-02,78.709999,79.459999,78.540001,79.250000,76.213181,324800
2018-08-03,78.709999,79.570000,78.709999,79.480003,76.434372,310300
2018-08-06,79.470001,79.680000,79.339996,79.430000,76.386284,249800
2018-08-07,79.470001,79.970001,78.430000,78.730003,75.713112,510300
2018-08-08,78.809998,79.699997,78.720001,79.470001,76.424759,377600
2018-08-09,79.459999,79.959999,79.459999,79.870003,76.809425,338800
2018-08-10,79.180000,79.449997,78.559998,78.830002,75.809280,557800
2018-08-13,78.610001,79.220001,78.610001,78.989998,75.963150,434500
2018-08-14,79.199997,79.849998,79.199997,79.820000,76.761345,425600
2018-08-15,79.160004,79.349998,78.919998,79.089996,76.059319,481600
2018-08-16,79.349998,79.839996,79.290001,79.669998,76.617081,295800
2018-08-17,79.949997,81.190002,79.879997,81.059998,77.953827,579900
2018-08-20,81.059998,81.389999,80.830002,81.260002,78.146164,331700
2018-08-21,81.500000,81.870003,80.959999,81.050003,77.944214,549700
2018-08-22,80.989998,82.129997,80.949997,82.080002,78.934746,408200
